model,training_size,scenario,a_mse,v_mse,a_mse_first,v_mse_first
PERL,100,r0,0.232,0.2682,1.0023,0.0127
PERL,100,r0,0.5343,0.2429,1.0063,0.0125
PERL,100,r0,0.3386,0.1963,1.0034,0.0019
PERL,100,r0,0.2197,0.1824,1.0022,0.0018
PERL,100,r0,0.2282,0.1643,1.0022,0.0016
PERL,100,r0,0.7537,0.4111,1.0075,0.0042
PERL,100,r0,0.377,0.6203,0.7041,0.0062
PERL,100,r0,0.1348,0.1018,0.7014,0.001
PERL,100,r0,0.3576,0.3621,0.7036,0.0034
PERL,100,r0,0.4398,0.2883,0.7042,0.0029
PERL,100,r0,0.4775,0.1191,1.2428,0.0071
PERL,100,r0,0.2155,0.1173,1.1481,0.0054
PERL,100,r0,0.2208,0.2877,1.2776,0.0139
PERL,100,r0,0.5038,0.4014,2.011,0.0136
PERL,100,r0,0.6874,0.3308,1.9007,0.0085
PERL,100,r0,1.0314,0.3671,1.3629,0.0221
PERL,100,r0,0.2245,0.1936,1.3506,0.0093
PERL,100,r0,0.4433,0.1434,0.733,0.0047
PERL,100,r0,1.0219,0.6618,2.0296,0.0123
PERL,100,r0,0.7178,0.2313,1.244,0.0103
PERL,300,r0,0.2334,0.2134,1.1967,0.0097
PERL,300,r0,0.2157,0.2227,0.7305,0.0084
PERL,300,r0,0.2431,0.305,1.0576,0.0107
PERL,300,r0,0.1978,0.1917,0.7164,0.0075
PERL,300,r0,0.2313,0.284,0.9946,0.0108
PERL,300,r0,0.1879,0.1656,0.635,0.0065
PERL,300,r0,0.2781,0.2738,0.9846,0.0109
PERL,300,r0,0.2367,0.2566,0.9095,0.0095
PERL,300,r0,0.2481,0.3265,0.8893,0.0117
PERL,300,r0,0.2481,0.3022,0.9324,0.0114
PERL,300,r0,0.205,0.1821,0.6474,0.0072
PERL,300,r0,0.2683,0.2806,0.9614,0.0113
PERL,300,r0,0.2505,0.2675,0.8963,0.0113
PERL,300,r0,0.2263,0.2697,0.7979,0.0097
PERL,300,r0,0.2057,0.1878,0.789,0.0069
PERL,300,r0,0.2033,0.2378,0.8351,0.0095
PERL,300,r0,0.2562,0.3024,1.0493,0.0127
PERL,300,r0,0.1653,0.1767,0.5613,0.0067
PERL,300,r0,0.1881,0.1826,0.6439,0.0069
PERL,500,r0,0.1638,0.2542,0.8016,0.0025
PERL,500,r0,0.2059,0.2749,0.8026,0.0028
PERL,500,r0,0.1991,0.1916,0.902,0.002
PERL,500,r0,0.2044,0.2191,0.8021,0.0023
PERL,500,r0,0.2546,0.2129,0.8025,0.0021
PERL,500,r0,0.2951,0.198,0.8482,0.0021
PERL,500,r0,0.2038,0.1798,0.8711,0.0071
PERL,500,r0,0.2176,0.1777,0.8786,0.0091
PERL,500,r0,0.2519,0.1748,0.859,0.0089
PERL,500,r0,0.2107,0.2014,0.8863,0.0099
PERL,1000,r0,0.1983,0.156,0.402,0.0026
PERL,1000,r0,0.1712,0.1369,0.4017,0.0013
PERL,1000,r0,0.2043,0.2179,0.402,0.0022
PERL,1000,r0,0.1691,0.1499,0.6684,0.0063
PERL,1000,r0,0.159,0.1313,0.4953,0.005
PERL,1000,r0,0.2001,0.1099,0.8216,0.0045
PERL,1000,r0,0.1728,0.1776,0.6404,0.0066
PERL,1000,r0,0.1689,0.1231,0.6758,0.0052
PERL,1000,r0,0.1444,0.0587,0.4744,0.0027
PERL,1000,r0,0.1834,0.1529,0.6521,0.0061
PERL,1000,r0,0.1835,0.1892,0.6027,0.0069
PERL,1000,r0,0.1739,0.1415,0.6293,0.0055
PERL,1000,r0,0.1526,0.0849,0.5843,0.0036
PERL,2000,r0,0.1285,0.0317,0.4133,0.0017
PERL,2000,r0,0.1378,0.0427,0.4586,0.0019
PERL,2000,r0,0.1355,0.0322,0.4261,0.0016
PERL,2000,r0,0.141,0.034,0.4683,0.0015
PERL,2000,r0,0.1309,0.0298,0.44,0.0015
PERL,2000,r0,0.1306,0.0252,0.4135,0.0014
PERL,2000,r0,0.1484,0.0434,0.5046,0.002
PERL,2000,r0,0.1263,0.0347,0.424,0.0015
PERL,5000,r0,0.1208,0.0345,0.2914,0.0023
PERL,5000,r0,0.1268,0.0313,0.2914,0.0023
PERL,5000,r0,0.102,0.0198,0.2013,0.0022
PERL,5000,r0,0.123,0.0261,0.2012,0.0013
PERL,5000,r0,0.1254,0.0374,0.1013,0.0014
PERL,5000,r0,0.1209,0.0236,0.2912,0.0013
PERL,5000,r0,0.1042,0.0281,0.2214,0.0013
PERL,5000,r0,0.1022,0.0163,0.2213,0.0012
PERL,5000,r0,0.1214,0.0353,0.2316,0.0013
PERL,5000,r0,0.1398,0.0273,0.2314,0.0013
PERL,5000,r0,0.1219,0.0319,0.2314,0.0013
PERL,5000,r0,0.1373,0.0321,0.2414,0.0013
PERL,5000,r0,0.1081,0.0304,0.2414,0.0013
PERL,5000,r0,0.111,0.0286,0.2513,0.0013
PERL,5000,r0,0.1251,0.0292,0.2512,0.0013
PERL,5000,r0,0.1142,0.0286,0.1513,0.0013
PERL,5000,r0,0.1213,0.0275,0.1514,0.0013
PERL,5000,r0,0.127,0.0282,0.1515,0.0013
PERL,10000,r0,0.0942,0.0246,0.2111,0.0013
PERL,10000,r0,0.1013,0.0275,0.221,0.0013
