scenario,training_size,w_phy,a_mse,v_mse,a_mse_first,v_mse_first
0,300,0,0.3200,1.7000,0.3301,0.0034
0,300,0,0.3232,1.6883,0.3357,0.0034
0,300,0.1,0.2957,1.4897,0.3223,0.0033
0,300,0.1,0.2904,1.3852,0.3546,0.0036
0,300,0.2,0.2879,1.4798,0.3787,0.0039
0,300,0.2,0.2807,1.4991,0.3252,0.0033
0,300,0.3,1.0419,7.2923,0.7994,0.0089
0,300,0.3,1.3741,9.7876,1.1485,0.0108
0,300,0.3,1.2177,8.9628,1.2136,0.0112
0,300,0.4,1.2828,9.4507,1.1721,0.0125
0,300,0.4,1.6066,11.9912,1.4261,0.0143
0,300,0.5,2.3743,18.2849,2.2897,0.0228
0,300,0.5,2.4754,19.1341,2.4482,0.0240
0,300,0.6,2.9416,23.0454,2.8320,0.0280
0,300,0.6,3.0848,24.0945,3.0209,0.0298
0,300,0.05,0.5331,1.8371,0.2543,0.0028
0,300,0.05,0.2143,0.9792,0.2132,0.0025
0,300,0.1,0.8477,3.3905,0.4133,0.0041
0,300,0.1,0.7095,3.2267,0.4457,0.0042
0,300,0.15,0.4904,3.2387,0.5445,0.0057
0,300,0.15,0.4736,3.0181,0.4228,0.0054
0,300,0.2,0.6097,3.9673,0.5273,0.0052
0,300,0.2,0.8429,4.4564,0.6190,0.0062
0,300,0.25,0.9156,6.6820,1.0252,0.0091
0,300,0.25,1.0158,7.3444,1.0527,0.0107
0,300,0.05,0.2780,1.5306,0.3270,0.0038
0,300,0.05,0.3260,1.8585,0.4398,0.0037
0,300,0.05,0.2720,1.5577,0.3049,0.0033
0,300,0.05,0.5203,1.4493,0.2521,0.0027
0,300,0.05,0.3003,1.6645,0.3669,0.0030
0,300,0.1,0.5696,3.7457,0.5797,0.0050
0,300,0.1,0.6232,2.3511,0.4551,0.0046
0,300,0.1,0.3172,1.8158,0.4627,0.0047
0,300,0.1,0.3700,2.1580,0.3614,0.0036
0,300,0.1,0.3761,2.4464,0.4702,0.0042
0,300,0.15,0.3813,2.2642,0.3681,0.0040
0,300,0.15,0.5227,3.2709,0.5352,0.0054
0,300,0.15,0.9188,5.8897,0.7319,0.0076
0,300,0.15,0.3496,1.8917,0.4148,0.0028
0,300,0.15,0.5993,3.8969,0.6917,0.0059
0,300,0.05,0.2473,1.2729,0.2639,0.0031
0,300,0.05,0.3448,2.1634,0.3522,0.0032
0,300,0.05,0.4038,2.4778,0.4770,0.0041
0,300,0.05,0.2782,1.2797,0.3259,0.0029
0,300,0.05,0.3273,1.8901,0.3512,0.0034
0,300,0,0.1983,0.8569,0.2722,0.0027
0,300,0,0.2190,0.9843,0.2815,0.0025
0,300,0,0.2206,1.0799,0.2555,0.0026
0,300,0,0.2544,1.3331,0.2867,0.0034
0,300,0,0.2398,1.3441,0.3128,0.0031
0,300,0.05,0.3034,1.6638,0.3361,0.0036
0,300,0.05,0.3626,2.0448,0.3708,0.0037
