scenario,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first
0,128,128,100,1.628,6.0161,0.6512,0.006512
0,128,128,100,0.7069,5.007,0.4607,0.004607
0,128,128,100,0.6656,4.0065,0.3463,0.003463
0,128,128,100,0.8743,3.0088,0.6396,0.006396
0,128,128,100,1.19,2.0118,0.6948,0.006948
0,128,128,100,1.2507,6.0123,0.9249,0.009249
0,128,128,100,0.9223,5.0089,0.9878,0.009878
0,128,128,100,0.8006,4.008,0.5541,0.005541
0,128,128,100,0.9603,3.007,0.3737,0.003737
0,128,128,100,1.0117,2.01,0.3653,0.003653
0,128,128,100,1.2695,6.0125,0.5606,0.005606
0,128,128,100,0.9018,5.0089,0.4431,0.004431
0,128,128,100,1.681,4.0167,0.2855,0.002855
0,128,128,100,0.5532,3.0054,0.5478,0.005478
0,128,128,100,1.0316,2.0102,0.3205,0.003205
0,128,128,100,0.5952,6.006,0.0966,0.000966
0,128,128,100,0.4133,5.0041,0.5531,0.005531
0,128,128,100,0.8481,4.0084,0.4667,0.004667
0,128,128,100,0.813,3.008,0.2989,0.002989
0,128,128,100,0.5718,2.0056,0.7286,0.007286
0,128,128,100,0.8959,5.8849,0.7796,0.007796
0,128,128,100,1.1598,3.8111,0.6971,0.006971
0,128,128,100,1.5124,6.2711,0.9132,0.009132
0,128,128,100,0.7856,2.602,0.2672,0.002672
0,128,128,100,1.635,6.9633,0.4295,0.004295
0,128,128,300,0.3732,1.3861,0.4694,0.004694
0,128,128,300,0.2739,0.6604,0.4982,0.003982
0,128,128,300,0.2989,1.3339,0.3201,0.003201
0,128,128,300,0.2075,0.9306,0.3793,0.003793
0,128,128,300,0.5623,0.9435,0.3705,0.002705
0,128,128,300,0.5492,0.9674,0.4985,0.004985
0,128,128,300,0.3364,1.6387,0.4113,0.004113
0,128,128,300,0.2213,0.9714,0.3467,0.003467
0,128,128,300,0.2503,1.3734,0.3102,0.003102
0,128,128,300,0.4455,1.9198,0.4962,0.004962
0,128,128,300,0.2045,0.8177,0.3661,0.003661
0,128,128,300,0.5052,0.9277,0.2467,0.002467
0,128,128,300,0.1935,0.7758,0.2536,0.002536
0,128,128,300,0.192,0.7653,0.1842,0.002842
0,128,128,300,0.565,0.9223,0.2668,0.002668
0,128,128,300,0.2204,0.8941,0.3243,0.003243
0,128,128,300,0.2472,1.0401,0.3243,0.002243
0,128,128,300,0.2529,0.9489,0.3383,0.003383
0,128,128,300,0.1901,0.6539,0.3066,0.003066
0,128,128,300,0.2507,1.0273,0.4244,0.004244
0,128,128,300,0.1963,0.6593,0.1785,0.0017
0,128,128,300,0.2758,1.435,0.2505,0.0025
0,128,128,300,0.1603,0.7443,0.2124,0.0024
0,128,128,300,0.1811,0.8694,0.1875,0.0017
0,128,128,300,0.5241,0.8541,0.2467,0.002467
0,128,128,500,0.2167,1.0021,0.3512,0.003512
0,128,128,500,0.3311,1.0033,0.458,0.00458
0,128,128,500,0.2106,1.002,0.3558,0.003558
0,128,128,500,0.1686,1.0017,0.2118,0.002118
0,128,128,500,0.2264,1.0022,0.2477,0.002477
0,128,128,500,0.4818,1.0048,0.2276,0.002276
0,128,128,500,0.1586,1.0016,0.2818,0.002818
0,128,128,500,0.1756,1.0017,0.1716,0.001716
0,128,128,500,0.3188,1.0031,0.3297,0.003297
0,128,128,500,0.2534,0.9025,0.3676,0.003676
0,128,128,500,0.208,0.902,0.2165,0.002165
0,128,128,500,0.2149,0.902,0.3586,0.003586
0,128,128,500,0.5014,0.9049,0.2656,0.002656
0,128,128,500,0.2176,0.9022,0.4251,0.004251
0,128,128,500,0.2395,0.9023,0.2883,0.002883
0,128,128,500,0.2235,0.6022,0.3114,0.003114
0,128,128,500,0.3129,0.6031,0.4323,0.004323
0,128,128,500,0.451,0.4045,0.2496,0.002496
0,128,128,500,0.2675,0.4026,0.3267,0.003267
0,128,128,500,0.222,0.4022,0.2787,0.002787
0,128,128,500,0.4816,0.9731,0.3228,0.003228
0,128,128,500,0.245,0.9865,0.3184,0.003184
0,128,128,500,0.1756,0.4524,0.1899,0.001899
0,128,128,500,0.2787,1.3804,0.28,0.0028
0,128,128,500,0.2306,1.3686,0.2566,0.002566
0,128,128,1000,0.1867,1.0018,0.2054,0.002054
0,128,128,1000,0.2501,1.0024,0.2709,0.002709
0,128,128,1000,0.1837,1.0018,0.2612,0.002612
0,128,128,1000,0.2006,1.002,0.1654,0.001654
0,128,128,1000,0.1338,0.9013,0.241,0.00241
0,128,128,1000,0.2254,0.8022,0.1866,0.001866
0,128,128,1000,0.1629,0.8016,0.1552,0.001552
0,128,128,1000,0.2369,0.8023,0.2863,0.002863
