scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first,note
0,4,128,64,300,0.1536,0.7142,0.1574,0.0013,
0,4,128,64,300,0.1523,0.4631,0.1589,0.0014,
0,4,128,64,300,0.1705,0.6171,0.1168,0.0013,
0,4,128,64,300,0.1663,0.5632,0.1607,0.0016,
0,4,128,64,300,0.1547,0.5206,0.1451,0.0013,
0,4,128,64,500,0.1575,0.6236,0.1859,0.0019,
0,4,128,64,500,0.138,0.5397,0.1375,0.0015,
0,4,128,64,500,0.1276,0.415,0.1383,0.0013,
0,4,128,64,500,0.1602,0.6481,0.1764,0.0018,
0,4,128,64,500,0.1435,0.6099,0.1324,0.0012,
0,4,128,64,12000,0.0887,0.2543,0.0437,0.0004,
0,4,128,64,12000,0.0811,0.2072,0.0376,0.0003,
0,4,128,64,12000,0.0975,0.309,0.0461,0.0004,
0,4,128,64,12000,0.0901,0.2545,0.0444,0.0004,
0,4.4,128,64,300,0.1627,0.548,0.1335,0.0013,
0,4.4,128,64,300,0.1529,0.5535,0.1543,0.0015,
0,4.4,128,64,300,0.1699,0.5654,0.1647,0.0017,
0,4.4,128,64,300,0.1517,0.6543,0.1462,0.0015,
0,4.4,128,64,300,0.1521,0.5201,0.1669,0.0017,
0,4.4,128,64,300,0.1489,0.5434,0.1142,0.0012,
0,4.4,128,64,300,0.1339,0.4503,0.1367,0.0013,
0,4.4,128,64,300,0.1491,0.5219,0.1944,0.0019,
0,4.4,128,64,300,0.1666,0.578,0.1348,0.0013,
0,4.4,128,64,300,0.1471,0.4122,0.1648,0.0015,
0,4.4,128,64,500,0.1393,0.5085,0.152,0.0015,
0,4.4,128,64,500,0.1309,0.4793,0.12,0.0012,
0,4.4,128,64,500,0.1354,0.5465,0.1457,0.0015,
0,4.4,128,64,500,0.153,0.5517,0.1457,0.0015,
0,4.4,128,64,500,0.1347,0.4773,0.1391,0.0013,
0,4.4,128,64,500,0.1279,0.5022,0.1449,0.0014,
0,4.4,128,64,500,0.1362,0.496,0.1095,0.0012,
0,4.4,128,64,500,0.1447,0.5873,0.1246,0.0013,
0,4.4,128,64,500,0.1379,0.4522,0.1307,0.0013,
0,4.4,128,64,500,0.1239,0.5355,0.151,0.0016,
0,4.4,128,64,1000,0.1386,0.477,0.1296,0.0013,
0,4.4,128,64,1000,0.1362,0.4824,0.1314,0.0013,
0,4.4,128,64,1000,0.1394,0.4933,0.1383,0.0013,
0,4.4,128,64,1000,0.1354,0.5413,0.1397,0.0014,
0,4.4,128,64,1000,0.1615,0.564,0.1772,0.0018,
0,4.4,128,64,12000,0.0864,0.2395,0.0372,0.0004,
0,4.4,128,64,12000,0.088,0.2301,0.0415,0.0004,
0,4.4,128,64,12000,0.0849,0.2266,0.0391,0.0004,
0,4.4,128,64,12000,0.0885,0.2286,0.0362,0.0004,
0,4.4,128,64,12000,0.0873,0.2315,0.0428,0.0004,
0,4.8,128,64,300,0.178,0.6421,0.2122,0.0021,
0,4.8,128,64,300,0.1374,0.4742,0.1323,0.0012,
0,4.8,128,64,300,0.1559,0.633,0.1598,0.0014,
0,4.8,128,64,300,0.1479,0.5939,0.139,0.0014,
0,4.8,128,64,300,0.1616,0.6582,0.1697,0.0017,
0,4.8,128,64,300,0.1725,0.6655,0.1975,0.002,
0,4.8,128,64,300,0.1612,0.5473,0.1604,0.0017,
0,4.8,128,64,300,0.1547,0.564,0.1638,0.0017,
0,4.8,128,64,300,0.1552,0.6536,0.1529,0.0014,
0,4.8,128,64,300,0.1321,0.4962,0.1342,0.0013,
0,4.8,128,64,300,0.1474,0.5193,0.14,0.0015,
0,4.8,128,64,300,0.1337,0.474,0.1355,0.0015,
0,4.8,128,64,300,0.142,0.5413,0.1309,0.0014,
0,4.8,128,64,300,0.1315,0.4306,0.1585,0.0011,
0,4.8,128,64,300,0.1051,0.3505,0.0641,0.0008,
0,4.8,128,64,300,0.1281,0.4776,0.1088,0.0011,
0,4.8,128,64,300,0.1582,0.5824,0.1858,0.002,
0,4.8,128,64,300,0.134,0.4927,0.1523,0.0014,
0,4.8,128,64,300,0.4693,0.5343,0.1401,0.0013,
0,4.8,128,64,300,0.1309,0.4758,0.1127,0.0013,
0,4.8,128,64,300,0.1512,0.4935,0.1351,0.0014,
0,4.8,128,64,500,0.1478,0.5506,0.1304,0.0013,
0,4.8,128,64,500,0.1268,0.5259,0.1438,0.0014,
0,4.8,128,64,500,0.1668,0.6097,0.1327,0.0013,
0,4.8,128,64,500,0.1665,0.612,0.1644,0.0018,
0,4.8,128,64,500,0.1239,0.463,0.1237,0.0013,
0,4.8,128,64,500,0.1417,0.4641,0.1808,0.0018,
0,4.8,128,64,500,0.1269,0.4284,0.1373,0.0014,
0,4.8,128,64,500,0.1404,0.5041,0.1422,0.0013,
0,4.8,128,64,500,0.143,0.5377,0.136,0.0014,
0,4.8,128,64,500,0.144,0.5661,0.1541,0.0016,
0,4.8,128,64,500,0.1452,0.5091,0.1514,0.0015,
0,4.8,128,64,500,0.1438,0.5533,0.1489,0.0015,
0,4.8,128,64,500,0.1538,0.5472,0.1573,0.0013,
0,4.8,128,64,500,0.1298,0.5651,0.1267,0.0013,
0,4.8,128,64,500,0.1511,0.629,0.1273,0.0014,
0,4.8,128,64,500,0.1297,0.4495,0.1174,0.0013,
0,4.8,128,64,500,0.1583,0.6943,0.1379,0.0014,
0,4.8,128,64,500,0.1651,0.6128,0.1492,0.0014,
0,4.8,128,64,500,0.1408,0.5171,0.1263,0.0013,
0,4.8,128,64,500,0.1419,0.5246,0.1235,0.0013,
