scenario,w,layer1,layer2,training_size,a_mse,v_mse,a_mse_first,v_mse_first
0,4.01,128,64,12000,0.0741,0.1994,0.0135,0.000135
0,4.01,128,64,180,0.6117,0.6985,0.1026,0.001026
0,4.01,128,64,180,0.1881,0.9725,0.1463,0.001463
0,4.01,128,64,180,0.121,0.4754,0.1286,0.001286
0,4.01,128,64,180,0.1744,0.7987,0.3031,0.003031
0,4.01,128,64,180,0.158,0.6675,0.1313,0.001313
0,4.01,128,64,180,0.1676,0.6195,0.1266,0.001266
0,4.01,128,64,180,0.1384,0.3855,0.1163,0.001163
0,4.01,128,64,180,0.1347,0.4636,0.0934,0.000934
0,4.01,128,64,180,0.175,0.6141,0.1632,0.001632
0,4.01,128,64,180,0.1432,0.6121,0.0804,0.000804
0,4.01,128,64,180,0.1202,0.3412,0.2023,0.002023
0,4.01,128,64,180,0.163,0.5618,0.1169,0.001169
0,4.01,128,64,180,0.1519,0.669,0.1745,0.001745
0,4.01,128,64,180,0.1603,0.6244,0.2621,0.002621
0,4.01,128,64,180,0.1664,0.5164,0.1115,0.001115
0,4.01,128,64,180,0.3927,0.8071,0.1159,0.001159
0,4.01,128,64,180,0.1157,0.3454,0.1191,0.001191
0,4.01,128,64,180,0.3871,0.5115,0.08,0.0008
0,4.01,128,64,180,0.1844,0.8048,0.257,0.00257
0,4.01,128,64,180,0.1694,0.7173,0.1467,0.001467
0,4.01,128,64,180,0.139,0.5241,0.1364,0.001364
0,4.01,128,64,180,0.1262,0.3938,0.1009,0.001009
0,4.01,128,64,180,0.1205,0.4561,0.0904,0.000904
0,4.01,128,64,180,0.1357,0.514,0.0949,0.000949
0,4.01,128,64,180,0.3741,0.6764,0.1166,0.001166
0,4.01,128,64,180,0.1235,0.4105,0.1125,0.001125
0,4.01,128,64,180,0.1919,0.8258,0.1379,0.001379
0,4.01,128,64,180,0.1266,0.3731,0.1087,0.001087
0,4.01,128,64,180,0.1488,0.5938,0.1925,0.001925
0,4.01,128,64,180,0.1588,0.7476,0.1767,0.001767
0,4.01,128,64,180,0.1654,0.586,0.1694,0.001694
0,4.01,128,64,180,0.1303,0.4923,0.1624,0.001624
0,4.01,128,64,180,0.1862,0.7366,0.2277,0.002277
0,4.01,128,64,180,0.1343,0.3212,0.1422,0.001422
0,4.01,128,64,180,0.4033,0.7834,0.1359,0.001359
0,4.01,128,64,180,0.1633,0.4569,0.1313,0.001313
0,4.01,128,64,180,0.1297,0.5221,0.095,0.00095
0,4.01,128,64,180,0.1984,0.9639,0.207,0.00207
0,4.01,128,64,180,0.1404,0.6413,0.153,0.00153
0,4.01,128,64,180,0.1247,0.3981,0.1555,0.001555
0,4.01,128,64,300,0.1392,0.5366,0.1132,0.001132
0,4.01,128,64,300,0.3865,0.6039,0.1581,0.001581
