scenario,training_size,w_phy,a_mse,v_mse,a_mse_first,v_mse_first
0,100,,0.7061,0.0043,0.185,0.00185
0,100,,0.734,2.48864,0.58148,0.0058148
0,100,,0.36556,2.485,0.70528,0.0070528
0,100,,0.34904,2.4848,0.69952,0.0069952
0,100,,0.43252,2.48572,0.57684,0.0057684
0,100,,0.5588,2.08692,0.59892,0.0059892
0,100,,0.58308,2.08712,0.69096,0.0069096
0,100,,0.45172,2.08576,0.71612,0.0071612
0,100,,0.40304,2.0854,0.54264,0.0054264
0,100,,0.46692,2.085,0.47048,0.0047048
0,100,,0.48748,1.6862,0.46712,0.0046712
0,100,,0.5906,1.6872,0.54524,0.0054524
0,100,,0.44352,1.68576,0.49824,0.0049824
0,100,,0.7552,1.68888,0.4352,0.004352
0,100,,0.30408,1.68436,0.54012,0.0054012
0,100,,0.49544,1.68628,0.4492,0.004492
0,100,,0.32088,1.2846,0.35964,0.0035964
0,100,,0.24812,1.28384,0.54224,0.0054224
0,100,,0.42204,1.28556,0.50768,0.0050768
0,100,,0.408,1.2854,0.44056,0.0044056
0,100,,0.31152,1.28444,0.61244,0.0061244
0,300,,0.2167,0.8521,0.352,0.00352
0,300,,0.2611,0.8933,0.458,0.00458
0,300,,0.4818,0.9048,0.276,0.00276
0,300,,0.2686,0.8016,0.2818,0.002818
0,300,,0.2656,0.8017,0.2818,0.002818
0,300,,0.2788,0.8031,0.3297,0.003297
0,300,,0.2534,0.7025,0.3676,0.003676
0,300,,0.208,0.702,0.2165,0.002165
0,300,,0.2149,0.702,0.3586,0.003586
0,300,,0.3014,0.7049,0.2656,0.002656
0,300,,0.2935,0.6022,0.3114,0.003114
0,300,,0.2929,0.6031,0.4323,0.004323
0,300,,0.291,0.8045,0.2496,0.002496
0,300,,0.2675,0.9026,0.3267,0.003267
0,500,,0.2332,0.93492,0.34612,0.0034612
0,500,,0.21416,0.917,0.3414,0.003414
0,500,,0.25248,0.84884,0.2998,0.002998
0,500,,0.22056,0.74908,0.22204,0.0022204
0,500,,0.2372,0.58924,0.2402,0.002402
0,500,,0.26728,0.38876,0.21572,0.0021572
0,1000,,0.20048,0.76276,0.30324,0.0030324
0,1000,,0.19624,0.75652,0.18908,0.0018908
0,1000,,0.19136,0.74868,0.22092,0.0022092
0,1000,,0.2072,0.669,0.22764,0.0022764
0,1000,,0.1884,0.42884,0.21932,0.0021932
0,1000,,0.21464,0.42908,0.24572,0.0024572
0,1000,,0.19712,0.42972,0.21764,0.0021764
0,1000,,0.17824,0.48876,0.20724,0.0020724
0,1000,,0.23,0.38916,0.21532,0.0021532
0,2000,,0.17552,0.58868,0.20892,0.0020892
0,2000,,0.1836,0.51692,0.20892,0.0020892
0,2000,,0.18296,0.42532,0.21964,0.0021964
0,2000,,0.18392,0.51676,0.21308,0.0021308
0,2000,,0.1868,0.46844,0.26404,0.0026404
0,2000,,0.16832,0.48868,0.19036,0.0019036
0,5000,,0.17376,0.27068,0.133416,0.00133416
0,5000,,0.1392,0.38844,0.123048,0.00123048
0,5000,,0.16384,0.31188,0.114936,0.00114936
0,10000,,0.1758,0.3276,0.06042,0.0006042
0,10000,,0.1517,0.3122,0.0645,0.000645
0,10000,,0.1672,0.3362,0.0666,0.000666
0,10000,0.01,0.1023,0.2831,0.059,0.0006
0,12000,,0.0898,0.2126,0.0336,0.000336
0,12000,,0.0869,0.242,0.0333,0.000333
0,12000,,0.0981,0.2131,0.1105,0.001105
0,12000,,0.0874,0.2408,0.0395,0.000395
1,300,,0.2639,1.1033,0.2096,0.002096
1,300,,0.3098,0.7425,0.2043,0.002043
1,300,,0.6128,1.0853,0.2411,0.002411
1,300,,0.573,1.2419,0.2289,0.002289
1,300,,0.3035,1.0342,0.2231,0.002231
1,300,,0.2456,1.1967,0.2312,0.002312
1,300,,0.3363,1.3383,0.2246,0.002246
1,300,,0.2805,0.7734,0.1739,0.001739
