scenario,training_size,w,a_mse,v_mse,a_mse_first,v_mse_first,
0,300,,0.2913,0.8465,0.2975,0.002975,0.8865
0,300,,0.2947,0.8301,0.2815,0.002815,0.8701
0,300,,0.28,0.88,0.28,0.0028,0.92
0,300,,0.275,0.85,0.27,0.0027,0.89
0,500,6,0.2713,0.8465,0.2675,0.002675,0.8865
0,500,6,0.2613,0.8365,0.2575,0.002575,0.8765
0,500,5,0.2647,0.8201,0.2575,0.002575,0.8601
0,500,,0.261,0.83,0.253,0.00253,0.87
0,500,,0.26,0.83,0.26,0.0026,0.87
0,1000,3,0.2525,0.7805,0.2503,0.002503,0.8205
0,1000,,0.259,0.82,0.252,0.00252,0.86
0,1000,,0.259,0.81,0.252,0.00252,0.85
0,2000,,0.257,0.81,0.251,0.00251,0.85
0,2000,4.8,0.2536,0.7936,0.2506,0.002506,0.8336
0,5000,4.01,0.26,0.775,0.27,0.0027,0.815
0,5000,4,0.2511,0.7689,0.2481,0.002481,0.8089
0,10000,4.2,0.2516,0.7786,0.2488,0.002488,0.8186
0,10000,4.4,0.2518,0.7823,0.2486,0.002486,0.8223
0,10000,4.01,0.2515,0.77,0.25,0.0025,0.81
0,12000,4.01,0.2511,0.7689,0.2481,0.002481,0.8089
2,300,,,,0.368139684452739,0.003681396844527,
2,300,,,,0.29830225399664,0.002983022539966,
2,300,,,,0.368232154029726,0.003682321540297,
2,300,,,,0.396021483553556,0.003960214835536,
2,300,,,,0.29830225399664,0.002983022539966,
2,500,,,,0.369803873040422,0.003698038730404,
2,500,,,,0.346897188465042,0.00346897188465,
2,500,,,,0.29830225399664,0.002983022539966,
2,1000,,,,0.317897510561192,0.003178975105612,
2,2000,,,,0.29830225399664,0.002983022539966,
2,5000,,,,0.29830225399664,0.002983022539966,
2,10000,,,,0.272905772094239,0.002729057720942,
2,12000,,,,0.269850824791502,0.002698508247915,
3,300,,,,0.308550616355398,0.003085506163554,
3,300,,,,0.368232154029726,0.003682321540297,
3,300,,,,0.336719436946291,0.003367194369463,
3,300,,,,0.388879685875674,0.003888796858757,
3,300,,,,0.369803873040422,0.003698038730404,
3,500,,,,0.369803873040422,0.003698038730404,
3,500,,,,0.312710557615802,0.003127105576158,
3,500,,,,0.319803873040422,0.003198038730404,
3,500,,,,0.346897188465042,0.00346897188465,
3,1000,,,,0.308139684452739,0.003081396844527,
3,1000,,,,0.317897510561192,0.003178975105612,
3,2000,,,,0.29830225399664,0.002983022539966,
3,5000,,,,0.292905772094239,0.002929057720942,
3,10000,,,,0.284850824791502,0.002848508247915,
3,12000,,,,0.28,0.0028,
